"transaction_hash","block_number","delegator_key"
"0x5ab149d2bf93cb7e0ed63e6b584d4c848bf6d2e9f8805df39108cbfa481ae299","37803525","0x7035601b19e5797ca0a893b3e12aa2495aaf8c4e727b83f0aa5d2ffeea749f31"
"0xdb7af0048a0434837e9c93035e4de494509e704967b32ed41883a89ba8deeab7","37803685",NULL
"0x20eb1b591b6818613e2b9ca9941c958dfc836c786e2f7ac3a069ba401abcc562","37803693",NULL
"0x6d31f20b98de9817d772c0b3ba32063973675d0d035d6528484ad79d755b4b06","37804630","0xe0a76001b92063d4969531f49a27f8ef6e90594c4d75766379fb7c53b8d31f8c"
"0xfb02b6e19e2ca3384d5c0a832613a4f0065402f128104a92434c46cf80ff495f","37804875","0x0ccaea8b79535620903b94fb798e2e834a2f3f739344c9f347dd1680231b17cc"
"0xbceff0356eded931771918cfbaad54077499fe3323482d5f7c7bd11375020772","37804884","0x0ccaea8b79535620903b94fb798e2e834a2f3f739344c9f347dd1680231b17cc"
"0x120b6294e941c95e30da701c4954a1acce4ef8778ce9a051fbe6fd37e1320ec9","37804939","0x0ccaea8b79535620903b94fb798e2e834a2f3f739344c9f347dd1680231b17cc"
"0x94c67f47aa147bc306b9b4a7311023ae26de96d93556fe7fae506b596ca78f8e","37805075","0xcd7774e4456b11a3606a6fcbbcb17203435e43f06a530dac9295d1d0dc3001da"
"0xa77e0cd9fe51540523c1041c9348d7e3bcb0fc0aa784ff6f131ecc73512b07eb","37805634",NULL
"0x409eb0f400dadbb4a701e99dc38003daab591a1020c05f386fd6d1cf91e39a12","37805647",NULL
"0x646b75bccfc21d4203759f355d62f2be0a07e73a14acd7247ba484ad1f40acf7","37805661",NULL
"0x921dc2a0bf028d9af5bf27c5f9167a9be40c4b95267b21b7adfa8362ea87b52c","37806016","0x8b8e9d54c9cacea24c6637bdc6b10d3ecb2529b396ccad00bf989e222796c03d"
"0x52fff150f7de470eb76f2b57facf99989a96ecbaaa417c49e1bf4510ed408666","37806030","0x8b8e9d54c9cacea24c6637bdc6b10d3ecb2529b396ccad00bf989e222796c03d"
"0xc6d0d845b42a8ef9adfe0afd9ae580b8d939984e22b94f532020a51adb55ce6f","37807002","0x7035601b19e5797ca0a893b3e12aa2495aaf8c4e727b83f0aa5d2ffeea749f31"
"0x1c9befefc1ff2f4d3a1faf6b896159cc035fdc7f6b023d0dc0b0f8778c24876c","37807016",NULL
"0x704343ce09603e8754b94c954d984b7d9cf6cea8fc87cf14c60b35d16ecb4566","37807027","0x7035601b19e5797ca0a893b3e12aa2495aaf8c4e727b83f0aa5d2ffeea749f31"
"0xcfdf94e966c2a71b6bf75b8f735fff7e0dce3c617f0cb66aad0cbc9352866e32","37807076","0x7ffe77b342929e6daa53730a540846ca9b85ad36551011b968785f80aed86eab"
"0x11f31ac4d9f14ca074806faccfd7901ad987063821973c5c5b37fba0c208d14b","37810502","0xf3a62c92160c996b0ea429c0002e514110bd2ecf64f31ea637d360ea9686decc"
"0x0fa9adc6e457c188e4014a395ee35130101eb83caf8dfe02c5a4b7b965e70bba","37810510","0xf3a62c92160c996b0ea429c0002e514110bd2ecf64f31ea637d360ea9686decc"
"0x97343d8416daad51367d41ff3fa2e3b61f6d1e1cda8ac1ed739b62e1b5c9dd9f","37810519","0xf3a62c92160c996b0ea429c0002e514110bd2ecf64f31ea637d360ea9686decc"
"0xcee947c4c95871f659d1a58205f84924e451cd87f187484b814982ccb2c1d04e","37810595","0x2116f9dba3f1905599f6e6e3654168067be3685c44360f9507beffee7159a370"
"0xd422bcd4576a3bdbf728c22a7068b973d28b4558200db8ffad319d05869188e5","37810608","0x2116f9dba3f1905599f6e6e3654168067be3685c44360f9507beffee7159a370"
"0x9487125a82306e31ff0b0e3224e75ddbe3e58ef9b4fecc385760515a576508f7","37810615","0x2116f9dba3f1905599f6e6e3654168067be3685c44360f9507beffee7159a370"
"0xc251de10828230cbe6c2cce91c339a25ec2bef0c48280227f356836bfabd430c","37810621","0x2116f9dba3f1905599f6e6e3654168067be3685c44360f9507beffee7159a370"
"0x4d5b89726980c4329630e80215aec588d04bfdfc794957365ac11accc2dcba48","37810628","0x2116f9dba3f1905599f6e6e3654168067be3685c44360f9507beffee7159a370"
"0xe332df81cfe714a8035f0ed2abd84e4506b8f0c5a67bfbf055a918ab84bc1b4f","37810649","0xf3a62c92160c996b0ea429c0002e514110bd2ecf64f31ea637d360ea9686decc"
"0xa0ff46090ef99eb0f6a7acc4dd674827c6d53cb5927a9340ea2bc8b4b1c1bfa1","37811615","0x8753bed5c34c31b9edb31efd9552ee6174d1f4e80626fe31cf4380edfbca9f45"
"0xd72543d37eb01ca22b50f5527e3721ba36078b80838e0cf3f68c8cd7118136ba","37821542","0x49f43a617971dde05348e842c4758be79739e15f37da0425750a388de09087db"
"0x04e85580268baa42a53626646f0791084551bc7a81970bab66d8e3864bcba7d4","37821607","0x49f43a617971dde05348e842c4758be79739e15f37da0425750a388de09087db"
"0x0f415606d18b863428432786b48901105b36db285fce08543b0a6aedf74d7663","37821667","0x49f43a617971dde05348e842c4758be79739e15f37da0425750a388de09087db"
"0xd875fe14b3d94fc2314d7cb861e6b7748dc94ed3c34a11e544858279e1931367","37821681","0x49f43a617971dde05348e842c4758be79739e15f37da0425750a388de09087db"
"0xb376f7cd73d440c0c0c784bfa6dbbd694eab23c505e85a15a9cc8c1b7d0b08f2","37825723","0x5e5300ff532315e4731def17b21eec086d56101b9dfcd155674547ae5c324ff3"
"0x766ec10a0b33ec7d04b86ebbacfec87a9ab33c1bb86bfca592d123760ac25af8","37825756","0x5e5300ff532315e4731def17b21eec086d56101b9dfcd155674547ae5c324ff3"
"0xcbb5a1aa227114fa41d984ab2db6e03e78b77e317a85e3947064779b3dbcaacc","37825767","0x5e5300ff532315e4731def17b21eec086d56101b9dfcd155674547ae5c324ff3"
"0x514cfa5eb557dcc7e1bed113950544345348f41e585afc57c5b3b814e194079c","37826192","0x6fd1c80317f4996126747416899c2477a6fb8ff8eb39b476f8e6eb87a9c3be3a"
"0x589062bd932a2a3791ae78ec1424891b3fc24b181821c60d03faf8d30e179a9d","37827704","0x917c9823877e5d19e2c8a757446a310a4e814303b090c98509899929cc80c16c"
"0x73f4dd239f2a6b5e8b6d0fbbd714b1b393f51cf03569a641fb5cc6db053ebcd7","37827725","0x917c9823877e5d19e2c8a757446a310a4e814303b090c98509899929cc80c16c"
"0x4819cf8037e9c548eb604a0de549a16e412a30ebc2f63ca32fac77fbe45885bc","37827743","0x917c9823877e5d19e2c8a757446a310a4e814303b090c98509899929cc80c16c"
"0x406e19bdaeb02d7ea46ae5a108320ccb694e89780a370ce88a62a3437a32512f","37827756","0x917c9823877e5d19e2c8a757446a310a4e814303b090c98509899929cc80c16c"
"0x0425fa1dad578e8fab6a57e3461833463d469dc5381597d71ab290f1d8105ce3","37827771","0x917c9823877e5d19e2c8a757446a310a4e814303b090c98509899929cc80c16c"
"0xa48c84ab51b42d2b59ad82b4aae8726d873a2bb1a23170dec7ee34429da26efe","37827920","0x917c9823877e5d19e2c8a757446a310a4e814303b090c98509899929cc80c16c"
"0xc2684c8aafcd9ab3a9ab5fd3a91c6fb0169e42fbde552eca6f585e16cf95471e","37828051","0x342975b4ccd3ffccbde66ee03e0b562a5bf947c389bff34ebc1038082745806b"
"0x91217a812e11673b4f454e42095b72237469c9bd1786e53611c6b159f0065017","37828253","0xd53b7d4244d15deba01e51acee299d20243c7598a4aaae2ab9520379aacf028b"
"0x168d0870d98f173dbc362886c21caf6c0ffc8ad8b299aea9148a7019c1da4917","37835118","0x0f3b6aa21acef0fce2078cb4674e45ba4e0cacd2eab0fdb9f9f0a9990c8fa233"
"0x34f92e504e613115c488c4d395f5ea61740e13bff78293933ffef0ae83fd43b3","37835131","0x0f3b6aa21acef0fce2078cb4674e45ba4e0cacd2eab0fdb9f9f0a9990c8fa233"
"0x2966e6bb2187e2c5f9cb54becd03bb25cb8ce346635f15e1fad2a693f9e60ea8","37835875","0x21c3fb45a989d1a6e1c7f2cf4a07694a87415872c8ad557853fd5a5960ec4b50"
"0x39d68d1fabfa42e51006a0e430216238738a792430920808e005e12a7c918d10","37835979","0x751b9955791df607cde4952d5d25d2d4204f0268cc665cbb70ada96c6e2936d8"
"0x21dc715f3a8a3ff3227009b4c323c7489a7f7c5d0c17e5cbf353f9e1c9af478d","37835995","0x751b9955791df607cde4952d5d25d2d4204f0268cc665cbb70ada96c6e2936d8"
"0xf16aebeeb94b81235663df4b1a5dc09dfead96f29f57b434c0db6cbf45015d92","37837812","0x68b76f0e0ee61f0f9e2a6e6b29d12926d7b67d2e0772f58ca7c1e4c9d9811839"
"0x4b3299fef3c4ed94b8e03a64f5aee18df80ba9f4140904d753320755201e0ea6","37837932","0x09ff255b61aa6bb6f7234fa249a32d34f1e434715894a370ec72880d0fbc4e9b"
"0x09528c355d0e73dc3b181d8a756aef14574c773d44d66f5086a9c29409b54f28","37837983","0x09ff255b61aa6bb6f7234fa249a32d34f1e434715894a370ec72880d0fbc4e9b"
