delegator_address,node_identity_id,last_claimed_epoch
0xcaecfcd6ce3d265b947d28d6e84b7164595ffa7a,5,6
0x7b1ba3b9b9f284619f2ded52ebabbb8cfe7ddbe9,5,6
0xaa6ac66852739b8b88f8e6605c0b0fa775d1ed61,5,6
0x4b5fffa39fa909d0742f4a8242b765ff3e7368bc,5,6
0x3f203b41906c0d099dc82b7c71adc27de4323001,5,6
0xdc5387e655781d2c83067169e3cf395d8202f4d4,5,6
0x22b750c56a1e6e20799d470a8949896dc3f55c45,5,6
0x39dcaafa2ebf43e8822a7ad308b26ec2a06cdcba,5,6
0x4366cdbfd0d5797e229103529c2db4adcfd755f1,5,6
0x6746a8efdc6b503e0cfef757288ff41fbd034070,5,6
0x737240ede9e72ac15eebd2cb9d41a3071870b82d,5,6
0x88f1706c20d94a4d1551c5f799c9e3380a24c3ac,5,6
0xb51da33b5b218225680fb18eefb82f7abd9814c8,5,6
0xb939053577269eeb39bceea2b9f99de05ba7668b,5,6
0xded9521912ee0afed354b6b4cdb47b9941c9cc2b,5,6
0xe6f432a24657324625caa044ce3767aad1d0a550,5,6
0x599c59081d9b673bbddafbc933b669aa84ea3ee1,7,0
0x874d218e6d28534d7af5ff97674be65eda375b18,7,6
0xf70a6bef1918334bad085e09f50237e10a45b220,7,6
0x599c59081d9b673bbddafbc933b669aa84ea3ee1,8,6
0xf19fdc795c314f1934210c5e60c0703c16866f7b,8,6
0xb508b13981aa0cc16ea83ee519b79b5d364e3463,8,6
0x599c59081d9b673bbddafbc933b669aa84ea3ee1,10,0
0x6447b9b40536436b42424a984876d7e3b858f8f7,10,6
0x874d218e6d28534d7af5ff97674be65eda375b18,10,6
0xb7ed501cb5a6470caf0b97085b00ddfac601bb59,10,6
0x6cf9518911f98be2f9b655efceccb4e988a33935,10,6
0x712ee4a3b10f4598e00d0f85b88d827d493d0940,10,6
0xfd1e8266e4896601c783e2b9bf8505f6a308cf09,10,6
0xe6b4accc6a58d5998ce7d0740e471e2cde0d3cfa,10,6
0x48e3d72961360c382548d42bb4dda346386bf01c,10,6
0xdcb9608edc5920f17df68a40f82d4c6d86942209,10,6
0x7f5aaf1bc0f5b2e2be88bd2294a8694c41ccd8d6,10,6
0x203cb60813c25fd26f064e676eed43aed4448c3c,10,6
0xeaaadc16d54d5a9d584478ec420166324323d652,10,6
0x3e23706eba2703a61694460e3b6a845758aec896,10,6
0x3f203b41906c0d099dc82b7c71adc27de4323001,10,6
0xf100f7514c1101b5d898b6a2bd0d04d620d85d65,10,6
0x5ad5d14fd858a729736aad114a25f89319f9a2d8,10,6
0x0e62bdc912a42367ae317ffd35c1b647c739c422,10,6
0x53f2736fae551c998d4e72e519f1acf474264de4,10,6
