block_number,block_timestamp,tx_index,msg_sender,transaction_hash,contract_name,function_name,function_inputs,processed,error
7647611,1737660186,0,0x626713967C0d98A2701C12DE07E2D37A9EED0D5f,0x1781f5ad26568e9d053fee30ca9b771a417f983d5836ec5c9a6a2a29b77dc2cc,Migrator,migrateDelegatorData,"[""131""]",false,
7746068,1738257180,0,0x42925F3b33d315000276F0F6a257e4FC3c06da21,0x1d08146df0ceaea01af310d57aefd78266080bb252ccbea9e44df0daaaaee2d3,Staking,stake,"[""159"",""168263788680818864317706""]",false,
7845166,1738858446,0,0xA8157976Ed9702C312bB04B05bee529072F340C4,0x1c08d60d6814e4affaacf6cc5ff406ced4bf385a15e8c53ce18015f077b5c0ce,Migrator,migrateDelegatorData,"[""131""]",false,
7865680,1738982556,0,0xd5cBB6237659ee930A084026a01C08Ea850a9BeA,0xfec61807ddaf551f64513c373a0d0654a16c971bd6259031c72023c5e3744991,Staking,stake,"[""139"",""100000000000000000000000""]",false,
7968467,1739603154,0,0xd8C8f8E07F779C34aEc474bA1A04E20E792b5c5f,0x40c49103a7794b989d7124f35b17f9d9ec12a9bebe51b7cfc673b7ab1b792a7d,Staking,stake,"[""96"",""5970000000000000000000""]",false,
8369259,1742030664,1,0x90098Ee8c21E5397e8Ff1978bD40FfcD76174756,0x0eccc0b7e313fa171ddcb055d99110ffeba9be2c8231cf25b20f8e5f9fe25800,Staking,stake,"[""171"",""1500000000000000000000""]",false,
8376461,1742074524,1,0x373c828D7c2a5af763aA6Df9d17351c910aBda77,0x924fe253a76ed3381393e41b3a7dce62b6b62870fc3d93c7846660c86972043b,Staking,stake,"[""171"",""200000000000000000000000""]",false,
8379170,1742090874,0,0x18405396C4CEc8447e74D408faBEF1A9C2dC6269,0x90f31df735a697f8f8d6a7ab55e4f0f6c05b806bdaf8a94908d3c41bc826f1e8,Staking,redelegate,"[""191"",""185"",""100413638698682170052668""]",false,
8385203,1742127816,0,0x373c828D7c2a5af763aA6Df9d17351c910aBda77,0x50ca13726ab63314f754d307987f876e2f92ff78ebf6caa00556c42e6d2f326d,Staking,redelegate,"[""171"",""198"",""100000000000000000000000""]",false,
8388930,1742150442,1,0xF31e8CA84382Bf02D4367905B6Fb536bEb08E11D,0x6b497602617ceff41dbf17f53255230ba9e3643eef0f7be1d65cbd91a46419b5,Staking,stake,"[""199"",""135575000000000000000000""]",false,
