delegator_address,node_identity_id
0xbd0163afb90ec4fda3741ee37e865c3b94154fa0,31
0xc0ad2ff627ab9a487738b46999bb204b1dc7da28,31
0x2ae24160535c32238d47bee716e2e9f035b00c53,31
0xdcd8e00138fcc9d5128ba609c78021036f4ea402,31
0x12611ea7420638d83fb00d0d87b55259faa16248,31
0xbb89d1036e8892b2c5a1f2eb33b900c7df76f48b,31
0xb2601f5e26e6b676dc707099b3b6ff9fbb3fe89b,31
0x5a64eff3aba37e8cd9793ca1a9f73036704bca48,31
0x082db5d05c2ab1899050f1dbe4a734181efe5de9,32
0x189ccc41aff05ab0e125d81c4e35ac6c5bc4f1b0,32
0x9c56b6fa44873ca26ad7008b819c70074abfa604,32
0xb527550f311aed1304ef66bdf8926a53347e7db3,32
0x24bf3576faef2ab252841e758d73ac8dfe61faf5,32
0xc9d3185ef9002cc69905c62017b964694d89f2ad,32
0xb7489f301092389cc327d90efeaf18c253038951,33
0xb598c060ef2b844286ed60e2eb5058dc69a2ad84,33
0x1f70ab7a96554f0cc1f6a4c57f2b244e8cba2f92,33
0xdcb9608edc5920f17df68a40f82d4c6d86942209,33
0x38df5eab959095f4589686f4d725c7d0a7ba8f75,33
0x2dfec97f3221da9d9bccb6d2f706ad1b53411454,33
0x7eb8deabf5d3921ed081a9f3ec89a75f1a673eb6,33
0xe94470a4beab39c497f8fe88d70f3a537bba55a2,33
0xb31fb8f1629fd1523bbd4f0aef474bece3e3453e,33
0xc4be47ff997157ea1a869ce1442eca889121bcf3,33
0x0e91710856b8aa8c2b0e78d301e7ed2057b21894,33
0x0b8a57a5aa1aa50981e3a7d0070c9b5b561e86c4,33
0x2a302f69f41d22af404a0496a870854d6a8d0fd0,33
0xa543eed9e43204aeffbb257958deec25f82c379c,33
0xadc358150cd12943d7ddcf5434f41737f3bfc364,33
0xe3ed7106e7e4aa8e8400d885f33c6c4b0f795fac,33
0xa78e03f3fed0b726055bb3d2003f93159e4fc974,33
0x1a4b7b5e62b4b2db338b6cb4bea4e34e37fb3573,33
0x02cc95b317ffff75878a8508885ae4842c6d2694,33
0x1d7c34b47a366753d5a9abd2a8dd3ac213be2177,33
0x234d939970ce2d994496d89dda6c9c9c629016d8,33
0x7be9f74e73f1d1ace72d0e234202b9d079309db3,33
0xf46cd09fc1aec116a10a1092f78d2c3da02547f2,33
0x497583c2124441cb9387adc81759fc0950cb6ed8,33
0x082db5d05c2ab1899050f1dbe4a734181efe5de9,33
0x861202b0693b5cb64f38704795ee96e71199d737,33
0xbe1f7f73bc8e4bd4995e02cf8069815f188b7b72,33
0xab9ff3b61c1fbc40d1ac6610b3b1093805165fb9,33
0x7f7838a6d8ea8dbc165027912430fed7cb1952cb,33
0x4c54f278d1611e28936f3c0d8406c5cacc8b232b,33
0x24bf3576faef2ab252841e758d73ac8dfe61faf5,33
0x646d48ae86287400a94b7cf9c605ed06a2880d99,33
0xc090750b0a2ee31e29a10e3da1ed5284f5ac989a,33
0xdc7256f0cf4029837dd0232b3503d8434213ae94,33
0x586be06271f64ddeb15d572c8afb6dc75f2dfe64,33
0x4e2e71d10461bb4c50f298d669dd1351dc3d294e,33
0x0e91710856b8aa8c2b0e78d301e7ed2057b21894,36
0xb7f85b3c095968165ec344cc9d7766d809278b13,36
0xe402f67863ace8254ca7ec782614a6f83a5b3262,36
0xb8794a429336355c48312f6819a4e6aba1a7b2a7,36
0x0e3eb1943f989a07b32bc613fcbfc7322c8db266,36
0x90ea8008d47a8f4adb27e4797870e90827a8a24a,36
0x93099fa69005cf8a741cd93aa28345dcff25bf9b,36
0x9c56b6fa44873ca26ad7008b819c70074abfa604,36
0x6e01e5e4bafbb366d7eaeec5ade695989aad7d8d,36
0x4e2e71d10461bb4c50f298d669dd1351dc3d294e,36
0xb65e896544f2742e2f913e28ea00daeaaf79c27c,36
0x586be06271f64ddeb15d572c8afb6dc75f2dfe64,36
0x1411081c256e54ec0f6f6bc7b4936d7f2e3c0271,37
0x1ba0bf73d8849d7e8aaa63ba18a3df551369f30f,37
0xba39cb790834d441e625f5e361d0366fa7c1603e,37
0x02cc95b317ffff75878a8508885ae4842c6d2694,37
0x0689225502484e7a4ce1eaecd428fed4cd8c80df,37
0xde25b73a7bdb51a0a6ecfc7fcdf45b8fbeb08b8e,37
0x8e68c399fadf53de34285a3c03a236558908f25d,37
0x158e39ef0a8f7beadf4c75ff079ee7ede492ab29,37
0x2799ee83d02761b7881aaa174d1c73163e1764c3,37
0xd6822c38cdc3003716b389b1ea44307c6af5916b,37
0x6e01e5e4bafbb366d7eaeec5ade695989aad7d8d,37
0x7a40506b5125023fd29de8aba04b44412905af95,37
0x538c0bc67fbe069f9ae72d908564a29da6c9d76d,37
0xc12e4fa44c64543fd47c9eeec8cd6855fd7b7823,37
0x586be06271f64ddeb15d572c8afb6dc75f2dfe64,37
0x46b8e7db8f0e3236519330190e5cdccffdfe8a26,37
0xc30c16b1be6ee86af460c117155672a9c0d3f6f1,37
0xe5471aaafb6be89dd84dd150e095d7cd4332d63e,37
0xbb89d1036e8892b2c5a1f2eb33b900c7df76f48b,37
0xafe8269cf830b9aa7bb57dff136ee2971ca5cc8d,37
0xe6468161cd265c1e0b9731d224b01146928e3336,37
0x10df0f61de281031beb17922e99bdb7ef68ed0c3,37
0x599c59081d9b673bbddafbc933b669aa84ea3ee1,37
0xc9d3185ef9002cc69905c62017b964694d89f2ad,37
0x5898213b10f76f422871b1300069e10ae7d56e89,37
0xe7c64318fddcd241b3f8fb1523bea8b8ba11cc4c,37
0x593c04cebef88b6cb85526fb4c9eac57769da720,37
0x9e1fef8a2abcc1f13f330deb9085f2f697e58eb8,37
0xe3324e63cc99f05dc482d2e73b2016143b163ede,37
0x44ed8ee74875ed3bfad7668cb80ae358b558666a,37
0x599c59081d9b673bbddafbc933b669aa84ea3ee1,38
0x6cf9518911f98be2f9b655efceccb4e988a33935,38
0x7232af3552c83e646e4a43368ccde98c4433533f,38
0x896930e77cdf937b26ad5fa0f8e5957616f496e2,38
0x3008f3c33fefb6f0fafd749cac0101f326a7cfb3,38
0x1f70ab7a96554f0cc1f6a4c57f2b244e8cba2f92,38
0x38df5eab959095f4589686f4d725c7d0a7ba8f75,38
0x5ab911005b61d26420278f97f8694b59d1501ba8,38
0x851a88571af500482399cc2cc69d9edd48332638,38
0xc2a4d6d2cddd3280ff22440cab6c3e44d4f774d9,38
0x54ee8558e00667e355968144ffceb6d75361acdf,38
0x02cc95b317ffff75878a8508885ae4842c6d2694,38
0xf46cd09fc1aec116a10a1092f78d2c3da02547f2,38
0xd402c33853eee528ea8f9723d8be26ef15b2e317,38
0xde25b73a7bdb51a0a6ecfc7fcdf45b8fbeb08b8e,38
0x4b6bc71ce53a38a8146180c2fa71f24b6b1b8fa8,38
0x8e68c399fadf53de34285a3c03a236558908f25d,38
0x2571d69a97bf6c5b8ec24dc4dd9a9a3e7783c133,38
0xef85a946b357337e9a82c4741cb2511d94b7cf9e,38
0xe3324e63cc99f05dc482d2e73b2016143b163ede,38
0x5d7a052c70408f20638f99f8b18dfef90f31d71f,38
0xd78b49d216950ff0a3a7c13ae72221953427bae9,38
0x1979e6f2a5698f1b6b0b5fa8ce1c982aebbc30a1,38
0xd016c9094d63eca2255a9bb20c021ea4b16b0a2a,38
0x7f7838a6d8ea8dbc165027912430fed7cb1952cb,38
0x991c0e2e957dfc7f8e2980acf1ca999ca426d100,38
0x538c0bc67fbe069f9ae72d908564a29da6c9d76d,38
0xc12e4fa44c64543fd47c9eeec8cd6855fd7b7823,38
0x1a41888596f50d763e644dca8199d49ece38aaf4,38
0x586be06271f64ddeb15d572c8afb6dc75f2dfe64,38
0xf74a5b99381a343f6c2c8a869d87a003d12856e3,38
0xfa0a88f3cb2a45fa709725df03a7af50bee8a2df,38
0x0fad8a3a515dedf35181af78371e9fea1dc064c2,38
0xce472e6f87e65ea9d77a46e2cf3f86acd8de88ac,38
0x46b8e7db8f0e3236519330190e5cdccffdfe8a26,38
0xc9d3185ef9002cc69905c62017b964694d89f2ad,38
0x18405396c4cec8447e74d408fabef1a9c2dc6269,38
0x8dd0513d158508ff152b0ad45562a22b39644359,38
0xb2601f5e26e6b676dc707099b3b6ff9fbb3fe89b,38
0xb9cc1c3f5c1676921fcf94983b34191e9d0b2fb5,38
0x2bd31cc64788ec0943d93001f58cdb01284178dd,38
0x44ed8ee74875ed3bfad7668cb80ae358b558666a,38
0xb7489f301092389cc327d90efeaf18c253038951,38
0xa2453e3d13b5c241c2872fd401d8405567e2a303,38
0x4e2e71d10461bb4c50f298d669dd1351dc3d294e,38
0xcb44ccfbc39bd7e3095641d2a710501a0ed0c960,38
