txHash,blockNumber,timestamp,from,to,valueEth,gasUsed,gasPriceGwei,txFeeEth,status,method,paramsJSON,contractAbiName
0x1ef31b67492bc646ce33c975b99425719e2e9a35184da1b0651c3ddf4199054d,24269182,2024-12-27T19:28:31.000Z,0x374b415D15316a533A5816741A73d5b23Da975d1,0xc6B8b1E3EFE8BE4dA79f3C2Cfc36d37d6F3DC8CB,0,169447,0.011457216,0.000001941390879552,1,migrateDelegatorData,"[""38""]",abi/Migrator.json
0x4ddf617d0290c996426ff4dabd7606f950ae8e7b27b85a07510f3eac2d19753d,24269338,2024-12-27T19:33:43.000Z,0xB9cc1C3F5c1676921fCf94983b34191e9D0b2Fb5,0xc6B8b1E3EFE8BE4dA79f3C2Cfc36d37d6F3DC8CB,0,169447,0.011210113,0.000001899520017511,1,migrateDelegatorData,"[""38""]",abi/Migrator.json
0x403f891715bf2990f957d391e57b7aa63ddf608545120a9f29865aeeb41c3595,24269425,2024-12-27T19:36:37.000Z,0xf20878614c5F352B57Ad7B16785140e73e69D602,0xc6B8b1E3EFE8BE4dA79f3C2Cfc36d37d6F3DC8CB,0,161562,0.013271255,0.00000214413050031,1,migrateDelegatorData,"[""3""]",abi/Migrator.json
0x0c49024f88737c8938de5b7cf47d4909e461288423a39fd380afd6eac286834a,24269477,2024-12-27T19:38:21.000Z,0xf20878614c5F352B57Ad7B16785140e73e69D602,0xd5Ed8EAb35536F8C33C38128087441218Df65B1C,0,436742,0.016118056,0.000007039432013552,1,stake,"[""3"",""63400000000000000""]",abi/Staking.json
0x9a16099be7b859910912035fe473e34cb72f23212736f68fc59114b4866f4598,24270325,2024-12-27T20:06:37.000Z,0x4B6Bc71ce53a38a8146180C2Fa71F24b6b1b8FA8,0xc6B8b1E3EFE8BE4dA79f3C2Cfc36d37d6F3DC8CB,0,169447,0.01180983,0.00000200114026401,1,migrateDelegatorData,"[""38""]",abi/Migrator.json
0x7a21a771a51d4a202caaff3b7d42247efbbe3eebbb5585ea69b01dbe78d35318,24273336,2024-12-27T21:46:59.000Z,0x21CB95d9332c48C44Cf28A64B6415cfE833Fd811,0xc6B8b1E3EFE8BE4dA79f3C2Cfc36d37d6F3DC8CB,0,222843,0.024684747,0.000005500823075721,1,migrateDelegatorData,"[""22""]",abi/Migrator.json
0x66162c6af3e0e72cc0f462610f40d5e7606697f80910f1a3f1191d3f7b57d1c9,24273356,2024-12-27T21:47:39.000Z,0x21CB95d9332c48C44Cf28A64B6415cfE833Fd811,0xc6B8b1E3EFE8BE4dA79f3C2Cfc36d37d6F3DC8CB,0,217138,0.024652628,0.000005353022338664,1,migrateDelegatorData,"[""3""]",abi/Migrator.json
0x497fb76a9f5d7e866c85db990838b4b5d1b97e56405dda45aa4c35d4c55491e2,24273376,2024-12-27T21:48:19.000Z,0x21CB95d9332c48C44Cf28A64B6415cfE833Fd811,0xc6B8b1E3EFE8BE4dA79f3C2Cfc36d37d6F3DC8CB,0,207986,0.024671864,0.000005131402305904,1,migrateDelegatorData,"[""14""]",abi/Migrator.json
0x4f4f5b6972cf3b92e896801893bb5fdcd297be3b7b7a08beb0a7d2d490c60297,24298160,2024-12-28T11:34:27.000Z,0x83256B5188C52214A4892433fe324D69b7a3a37b,0x2F0dd0781F13aA24d3E3061E3AfB8a411fbc64d7,0,417002,0.014547535,0.00000606635119007,1,updateAsk,"[""37"",""1350000000000000""]",abi/Profile.json
0x75e50c0582e1e427820eb0c29250113414f7cda33ac5dc2ec9da4d573720d47c,24298188,2024-12-28T11:35:23.000Z,0x83256B5188C52214A4892433fe324D69b7a3a37b,0x2F0dd0781F13aA24d3E3061E3AfB8a411fbc64d7,0,417259,0.012123614,0.000005058687054026,1,updateAsk,"[""33"",""1350000000000000""]",abi/Profile.json
0x6380f9888448c23c88857808f90c1a1076f12e7ceb1d5339b0fe1b66a6935dd1,24298219,2024-12-28T11:36:25.000Z,0x83256B5188C52214A4892433fe324D69b7a3a37b,0x2F0dd0781F13aA24d3E3061E3AfB8a411fbc64d7,0,417516,0.012072457,0.000005040443956812,1,updateAsk,"[""31"",""1750000000000000""]",abi/Profile.json
0xb34c027b8560e2fe76aa79b2ccd600a53c5012712712de8333fb8a7a0f47642f,24318347,2024-12-28T22:47:21.000Z,0x2549393a45A63dc08Ecf6CB2C76710DcFC6832fD,0xc6B8b1E3EFE8BE4dA79f3C2Cfc36d37d6F3DC8CB,0,169447,0.004281206,7.25437513082e-7,1,migrateDelegatorData,"[""38""]",abi/Migrator.json
0xbd51ec6bc326a203a9acca916542eab7eeaafed1a64e71236167127f7f6369d5,24325981,2024-12-29T03:01:49.000Z,0xe522e310BC6c7944E868e7d33c764B8e3FC0F12c,0xd5Ed8EAb35536F8C33C38128087441218Df65B1C,0,481044,0.006644617,0.000003196353140148,1,stake,"[""38"",""167420900205661460455""]",abi/Staking.json
0x17ea432b0cb339a70f60d4b8b486bfb211012c9f5f40a9af294ab91a126a386e,24340875,2024-12-29T11:18:17.000Z,0xbE0ca4Dd84defFe3222614E7e5C23C0c0B61583F,0xd5Ed8EAb35536F8C33C38128087441218Df65B1C,0,507720,0.011635644,0.00000590764917168,1,stake,"[""33"",""20000000000000000000""]",abi/Staking.json
0xa67682112330b76ff287d437f8a19d1ee8dbeea7b1fc7e0e728e2068f590474b,24340981,2024-12-29T11:21:49.000Z,0xb7489f301092389CC327D90EFEAf18c253038951,0xc6B8b1E3EFE8BE4dA79f3C2Cfc36d37d6F3DC8CB,0,239943,0.011576799,0.000002777771882457,1,migrateDelegatorData,"[""33""]",abi/Migrator.json
0xb73074cf10e8923f25634615131c9bb883983e52062b89ea24f185e993b1eec1,24346767,2024-12-29T14:34:41.000Z,0xB7f85B3C095968165eC344cC9d7766D809278B13,0x2F0dd0781F13aA24d3E3061E3AfB8a411fbc64d7,0,400639,0.009372051,0.000003754809140589,1,updateAsk,"[""36"",""1400000000000000""]",abi/Profile.json
