delegator_address,node_identity_id,status,details
0xcce967d8f21b62c5eb3fc5040c1677ef4cde54ba,1,success,0x6fb84201ed431666b536a8c904f163d320bd83d1977cf7fd6386fed4839f285f
0x2284fb05b06133ceda72a81036b48c188aabd0dd,1,success,0xdce9623941d47fe2b855c9136754d2a33a1289daddd39ceeaa08cb3d5df56868
0x0e62bdc912a42367ae317ffd35c1b647c739c422,1,success,0x7310306d5269ea4da98c7c8f46013143ccfbd3d8bc5eb9d8d7b8fb552854595b
0x22b750c56a1e6e20799d470a8949896dc3f55c45,1,success,0x2506297049baf96714f5dd44618c15905653b6a6c57c749ec269f189c4c5b868
0x242bfa90a5160893c4926b7da5a17355d67f3ffc,1,success,0x3e14c554838ccaba63fe07c3ab9df204d1fbdbc7a7efae96541d5af7102d5727
0x42d9c67a77773fade2b14fb4aec95fbce61e23ee,1,success,0x1a060d3bd10bd7a11f945a2fcf91690b5f068ceba67cef5956856d3e4b76183c
0x4988a3caef629dc9369dd3909b035f74b7e728b2,1,success,0x95a2621d7ec9a1fc872f7e2977b318b86b113896532012bd470d9de12f1e56d7
0x53f2736fae551c998d4e72e519f1acf474264de4,1,success,0x1c53f2a390fdf8cbcf456eb511549db6ae66e48a6a2e1dddf9a6c9d557342052
0xa053d9d31596b505c7ba2129b31193a1c37473af,1,success,0xffed3f6270c02221f85eaf5f504e9d9c6b18c2b4c794c9bcf1c96f5f2bd10131
0xdd110f9167c16db2f71d9f3a47d47988a5e530ad,1,success,0xe8244b6082bcc478c94da1ca08ac472565c5ceddfe4012c8f3e7f75378b7a0f5
0xf1e085349d492a5546658e28a470055ced37c3f4,1,success,0xef86104fc01b32323335e3eea5ccbf3fa47a6ddba7abfaea422cfbc8f9210595
0xf46cd09fc1aec116a10a1092f78d2c3da02547f2,1,success,0xb5c43d0d1b99bf65cdf129b26124698d985b345002738d20bc8b6324ec04ef46
0xdc5387e655781d2c83067169e3cf395d8202f4d4,1,success,0x5f43151e29807f1625a42156430500cac79378529f9644a2d8cc4d348a53a9e1
0x67f63eba2a4dc296237ffc11192c1f9769a646a8,1,success,0x8666d2c8c01ddd19d98df5212ee5662e331da3ded666ab95c24579c71d34fedc
0x42d9c67a77773fade2b14fb4aec95fbce61e23ee,2,success,0x6c539b98ec22ade9bb5e2a8c198568bb2b6e24eb5c1e17a39141665b386a3fad
0x42d9c67a77773fade2b14fb4aec95fbce61e23ee,3,success,0x16528678110e00ab6bc6706fb9913b2e13c9408e915cfa1739ddb90cd87e15d9
0xf19fdc795c314f1934210c5e60c0703c16866f7b,5,success,0xae60aae554e539517c7a86f9a455e1b1ba545627b4a81b27b4630af8a7d7cd89
0x7232af3552c83e646e4a43368ccde98c4433533f,5,success,0x3a1dc8ea91ae1b060655e2b550aae45a04499b16772beeb16137506440870683
0x1cb3b88fa6c79e4cc3163a04d5ae7862b600e55b,5,success,0x560dc3059ffeaf41946788ecdcdddecb82715c4026e45718ada4ec6fb7a686ad
